Burst,Barycentric TOA,Burst width(zero-crossing) (ms),Burst width(boxcar-equivalent) (ms),Peak Flux (Jy),Fluence (Jy ms),Fluence Error
1,59309.54335787000000000000 ,45.6,17,1.1,18.1,1.7
2,59309.54591884000000000000 ,163.8,34.3,0.8,30.1,2.4
3,59309.54659070000000000000 ,91.3,23,1.8,41.3,1.9
4,59309.54761242000000000000 ,48.6,13.6,0.7,9.3,1.7
5,59309.55935229000000000000 ,58.5,17.8,0.7,12.8,1.7
6,59309.57848970000000000000 ,65.5,14.3,0.7,9.7,1.6
7,59309.58136744000000000000 ,126,38.4,0.8,31.9,2.2
8,59309.58187302000000000000 ,94.3,21.4,1.2,25.8,2.5
9,59309.58418835000000000000 ,57.5,16,1.3,20.2,1.8
10,59309.58529781000000000000 ,33.7,7.5,0.6,4.8,0.8
11,59309.58921682000000000000 ,36.7,9.5,1.1,10.5,1.7
12,59309.59043137000000000000 ,33.7,10.1,0.9,9.3,1.6
13,59309.59576209000000000000 ,212.3,59.3,1,58.4,2.9
14,59309.59626756000000000000 ,95.3,22.3,0.7,16.4,2.4
15,59309.59639863000000000000 ,19.8,6.1,0.4,2.6,0.8
16,59309.59783325000000000000 ,103.2,25.2,2.1,52.9,1.8
17,59309.59870353000000000000 ,40.7,11.4,0.7,7.9,1.6
18,59309.61101660000000000000 ,69.5,19.1,1,19,1.7
19,59309.61108629000000000000 ,75.4,27.9,3.9,108,1.6
20,59309.61256996000000000000 ,69.5,14.1,0.7,9.3,1.9
21,59309.61412899000000000000 ,33.7,7.5,0.7,5.4,1.4
22,59309.61761505000000000000 ,315.5,42.1,1.6,66.5,3.8
23,59309.61763151000000000000 ,112.1,38.3,0.8,29,2.2
24,59309.62024508000000000000 ,79.4,23.7,0.9,21.7,2.5
25,59309.62099280000000000000 ,48.6,11.9,0.8,9,1.5
26,59309.62315829000000000000 ,41.7,16.5,0.6,9.3,1.6
27,59309.62398148000000000000 ,86.3,25.4,0.8,20.4,2.1
28,59309.62409520000000000000 ,18.9,0.7,0,0,0.1
29,59309.62932227000000000000 ,52.6,13.7,0.7,9.6,1.8
30,59309.63120928000000000000 ,84.3,22.9,1.3,29.7,1.8
31,59309.64163927000000000000 ,59.5,17.2,0.7,11.9,1.6
32,59309.64281245000000000000 ,61.5,15.4,2,31.3,1.6
33,59309.64447160000000000000 ,51.6,13.3,0.8,10,1.5
34,59309.64848111000000000000 ,36.7,15.3,0.6,8.9,1.6
35,59309.65177353000000000000 ,43.7,10.7,0.7,7.4,1.7
36,59309.65382734000000000000 ,44.6,15.7,0.5,7.2,1.6
37,59309.65603984000000000000 ,51.6,13.1,0.9,12.1,1.7
38,59309.65638858000000000000 ,82.4,18.6,1,18.9,1.9
39,59309.65702755000000000000 ,68.5,15.6,0.5,8.5,1.8
40,59309.65930498000000000000 ,62.5,14.8,0.8,11.2,1.6
41,59309.66312276000000000000 ,54.6,18.7,0.7,12.4,1.9
42,59309.66338438000000000000 ,63.5,16.8,1.1,17.8,1.9
43,59309.66415983000000000000 ,93.3,25.1,0.9,22.2,1.8
44,59309.66577462000000000000 ,92.3,29.5,1.1,32.5,2.4
45,59309.67941141000000000000 ,45.6,15.7,0.7,11.4,1.9
46,59309.67978340000000000000 ,63.5,20.9,0.7,14.7,1.9
47,59309.68965288000000000000 ,42.7,12.1,0.6,7,1.7
48,59309.68973336000000000000 ,53.6,10.3,0.5,5.4,1.6
